Age,Grade,Gender,Race,SES_Quartile,ParentalEducation,SchoolType,Locale,TestScore_Math,TestScore_Reading,TestScore_Science,GPA,AttendanceRate,StudyHours,InternetAccess,Extracurricular,PartTimeJob,ParentSupport,Romantic,FreeTime,GoOut
14,9,Male,Hispanic,1,SomeCollege,Public,Rural,100.0,95.15513753605708,100.0,3.662971338888661,0.985963849240328,1.535009522681254,1,0,0,0,0,2,3
17,12,Male,White,2,SomeCollege,Public,Rural,62.469898526242446,56.33460321198852,64.30029480730212,2.626614790989068,0.8487487437770193,1.1278593906694647,1,0,0,1,1,4,4
14,9,Female,Black,4,SomeCollege,Public,Suburban,79.55673421953249,80.70937803736126,94.3886880161179,3.3451969832784294,0.951335116272274,1.261587497337321,1,1,0,0,0,3,2
15,10,Male,Other,1,<HS,Public,Suburban,59.26396235787126,57.597294742098256,70.55287822867564,2.574821987238712,0.8320140583188635,1.214469610415933,1,0,0,0,1,1,3
14,9,Female,Black,2,SomeCollege,Public,Suburban,84.23236090743991,82.87283679637142,83.19985703891531,2.596027358701172,0.9615015701472848,0.8375562051908201,1,0,1,1,0,4,3
15,10,Male,White,1,HS,Public,Suburban,46.546814282561485,48.11046261761153,61.08205371478248,1.669108229468882,0.7955103394657439,0.3137229429857026,1,0,0,1,0,3,1
17,12,Male,Black,2,HS,Public,Rural,88.84290193925426,89.26217396448331,100.0,4.0,1.0,0.7445763679983796,0,1,0,1,0,3,1
17,12,Female,White,2,SomeCollege,Private,City,65.16163575708674,80.88211554736982,76.1768385157099,3.0385194245867484,0.8979140100391252,0.600733416173327,1,1,0,1,0,1,1
15,10,Male,White,2,HS,Public,Rural,58.537199690808606,72.19013429005696,62.68696244256381,2.175382506013786,0.8544562890310704,0.8791475953948186,1,1,0,1,0,3,1
15,10,Male,White,3,Bachelors+,Public,Suburban,74.46563697259745,82.31145886688589,81.28403525850503,3.108665794801372,0.940912997698278,0.6434596952320744,0,1,0,1,0,5,1
14,9,Male,White,2,SomeCollege,Public,Town,71.97299203325768,77.83177655192202,78.04158522830627,3.194358862368488,0.8750608794162726,1.07976207203491,1,0,0,1,1,4,2
18,12,Female,Black,4,SomeCollege,Private,Suburban,67.50288268265952,69.80914919098977,68.0888482704298,2.9603404421910025,0.839588050379164,0.857867666607657,1,1,0,0,1,3,2
16,11,Female,White,4,HS,Public,Suburban,82.1492183256442,73.57797614382703,76.53202276475851,3.0743410101318527,0.9398843497551684,0.8224365603785597,1,1,0,0,0,3,2
17,12,Male,Hispanic,2,HS,Private,Rural,77.06562448904518,80.05920101702263,67.46929385207439,3.1720351632122537,0.8897020147055291,0.6687909373416645,1,1,0,1,0,5,1
16,11,Male,Hispanic,3,<HS,Public,Suburban,80.07141696434783,85.17704096377155,91.71897728556692,3.771608858150176,0.9498608930007963,0.88083456937294,1,0,0,0,0,3,1
16,11,Male,Black,1,<HS,Public,Suburban,81.32630661986158,82.90572343855439,77.77347942952939,3.321719740675201,0.9307606580404532,1.3794077095944326,0,0,0,0,0,4,1
18,12,Female,White,2,HS,Public,Rural,67.43937267322428,69.48106482042537,71.1934959592672,2.3107661780914315,0.8232720808533461,0.7335976710814128,0,0,0,0,0,2,1
15,10,Male,White,2,SomeCollege,Public,Rural,65.17852001215908,63.94414312514808,59.119825399131145,2.570120402370792,0.8430343293955789,0.8605885872526468,1,1,0,1,0,2,3
18,12,Female,White,2,<HS,Public,City,86.43749710533262,100.0,85.54653660168078,3.4143870568666426,0.992266506801639,1.3531915918286643,0,0,0,0,1,4,1
15,10,Female,White,3,SomeCollege,Private,City,60.3528989576111,65.42327426638953,74.6749579773488,2.9449779811536256,0.8674455137888785,0.908876941955992,1,1,1,1,0,2,2
14,9,Male,Hispanic,3,SomeCollege,Public,Suburban,94.38795292556904,82.26083623372587,87.19535362950768,3.055251547282529,0.936304720280594,0.9327463006642314,1,1,0,0,0,3,3
18,12,Male,White,2,SomeCollege,Public,City,74.31135904634786,63.121462972232834,71.84821441644517,2.78100310639965,0.8900726328516348,0.9094143900445256,1,0,0,1,1,3,1
14,9,Male,Hispanic,4,SomeCollege,Public,Town,82.6888774644434,75.40525716089988,65.5693366115742,2.731498047761124,0.8615226430291765,0.3205440782463882,1,1,0,1,0,4,2
16,11,Male,White,4,Bachelors+,Private,Suburban,74.61881294644034,75.46761052803382,74.12538310481898,2.9199996718987906,0.8816761664741904,0.7055948575625954,1,1,1,0,0,3,3
15,10,Female,Hispanic,3,SomeCollege,Public,Suburban,82.46272390098079,84.01426742551382,81.03967236781061,3.313065171544239,0.9486397728488046,1.47144907941091,1,1,0,1,0,2,1
15,10,Male,White,3,Bachelors+,Public,City,76.21030514517356,69.2441903344564,75.16855569222518,3.2699807229507067,0.8753974235228791,0.8526255073090666,1,0,0,1,0,3,2
18,12,Male,White,1,HS,Private,Suburban,72.8212772289683,65.07475947809986,70.53611765891287,2.9513556654360644,0.9086249186344528,0.7871904985492566,1,1,0,1,1,2,2
